date,value
05-06-23,48430
06-06-23,48390
07-06-23,46620
08-06-23,51430
09-06-23,50740
10-06-23,50490
11-06-23,49160
12-06-23,49720
13-06-23,48220
14-06-23,48380
15-06-23,47260
16-06-23,46250
17-06-23,46320
18-06-23,45790
19-06-23,46550
20-06-23,45180
21-06-23,45540
22-06-23,46470
23-06-23,47970
24-06-23,47250
25-06-23,48710
26-06-23,49720
27-06-23,51160
28-06-23,51590
29-06-23,52780
30-06-23,49250
01-07-23,49530
02-07-23,49470
03-07-23,50370
04-07-23,52090
05-07-23,50530
06-07-23,50490
07-07-23,50700
08-07-23,50320
09-07-23,49840
10-07-23,49520
11-07-23,50430
12-07-23,48450
13-07-23,49130
14-07-23,49590
15-07-23,51360
16-07-23,47500
17-07-23,48270
18-07-23,47540
19-07-23,46100
20-07-23,44100
21-07-23,45940
22-07-23,44210
23-07-23,44100
24-07-23,43850
25-07-23,44770
26-07-23,42190
27-07-23,40500
28-07-23,40540
29-07-23,39630
30-07-23,40710
31-07-23,39350
01-08-23,35940
02-08-23,37250
03-08-23,40100
04-08-23,39450
05-08-23,39980
06-08-23,39440
07-08-23,39940
08-08-23,40460
09-08-23,39900
10-08-23,39210
11-08-23,40010
12-08-23,37370
13-08-23,41310
14-08-23,38760
15-08-23,41940
16-08-23,40380
17-08-23,38920
18-08-23,39600
19-08-23,40800
20-08-23,40100
21-08-23,41100
22-08-23,41760
23-08-23,37170
24-08-23,40230
25-08-23,41540
26-08-23,39990
27-08-23,41750
28-08-23,40610
29-08-23,41250
30-08-23,42220
31-08-23,41720
01-09-23,42230
02-09-23,41370
03-09-23,41330
04-09-23,41760
05-09-23,40090
06-09-23,41380
07-09-23,41640
08-09-23,42160
09-09-23,41840
10-09-23,41090
11-09-23,41770
12-09-23,42050
13-09-23,40840
14-09-23,41270
15-09-23,40990
16-09-23,40200
17-09-23,40850
18-09-23,37700
19-09-23,39820
20-09-23,40060
21-09-23,39250
22-09-23,39600
23-09-23,38340
24-09-23,41230
25-09-23,38500
26-09-23,38990
27-09-23,41260
28-09-23,39410
29-09-23,37730
30-09-23,38920
01-10-23,38640
02-10-23,38830
03-10-23,39630
04-10-23,38860
05-10-23,38530
06-10-23,38210
07-10-23,38270
08-10-23,39410
09-10-23,38920
10-10-23,39460
11-10-23,40140
12-10-23,38040
13-10-23,40310
14-10-23,40340
15-10-23,41490
16-10-23,42380
17-10-23,40140
18-10-23,41760
19-10-23,43770
20-10-23,44570
21-10-23,44890
22-10-23,45990
23-10-23,45380
24-10-23,47630
25-10-23,47720
26-10-23,49480
27-10-23,45840
28-10-23,47360
29-10-23,48230
30-10-23,46830
31-10-23,48840
01-11-23,50910
02-11-23,51300
03-11-23,49750
04-11-23,49580
05-11-23,48520
06-11-23,51990
07-11-23,51760
08-11-23,54760
09-11-23,52970
10-11-23,59280
11-11-23,56430
12-11-23,55940
13-11-23,59610
14-11-23,59260
15-11-23,60380
16-11-23,59900
17-11-23,59900
18-11-23,61310
19-11-23,61310
20-11-23,62300
21-11-23,61040
22-11-23,61340
23-11-23,59830
24-11-23,60480
25-11-23,58490
26-11-23,60420
27-11-23,62090
28-11-23,68210
29-11-23,65000
30-11-23,64940
01-12-23,66260
02-12-23,67110
03-12-23,66590
04-12-23,68220
05-12-23,67570
06-12-23,72020
07-12-23,76300
08-12-23,73310
09-12-23,71200
10-12-23,74100
11-12-23,70180
12-12-23,78290
13-12-23,75870
14-12-23,76100
15-12-23,75410
